company_name,detail
On Door Concepts Limited,NSE_SME name-matched 'On Door Concepts Limited' (symbol ONDOOR) but dates disagree: db='2023-11-15' vs nse_sme='01-Nov-23'
Rajgor Castor Derivatives Limited,NSE_SME name-matched 'Rajgor Castor Derivatives Limited' (symbol RCDL) but dates disagree: db='2023-10-15' vs nse_sme='31-Oct-23'
WomanCart Limited,NSE_SME name-matched 'Womancart Limited' (symbol WOMANCART) but dates disagree: db='2023-10-15' vs nse_sme='27-Oct-23'
Goyal Salt limited,NSE_SME name-matched 'Goyal Salt Limited' (symbol GOYALSALT) but dates disagree: db='2023-10-15' vs nse_sme='11-Oct-23'
OneClick Logistics Limited,NSE_SME name-matched 'Oneclick Logistics India Limited' (symbol OLIL) but dates disagree: db='2023-10-15' vs nse_sme='11-Oct-23'
Vishnusurya Projects and Infra Limited,NSE_SME name-matched 'Vishnusurya Projects and Infra Limited' (symbol VISHNUINFR) but dates disagree: db='2023-10-15' vs nse_sme='10-Oct-23'
Kontor Space Limited,NSE_SME name-matched 'Kontor Space Limited' (symbol KONTOR) but dates disagree: db='2023-10-15' vs nse_sme='10-Oct-23'
E Factor Experiences Limited,NSE_SME name-matched 'E Factor Experiences Limited' (symbol EFACTOR) but dates disagree: db='2023-10-15' vs nse_sme='09-Oct-23'
Arabian Petroleum Limited,NSE_SME name-matched 'Arabian Petroleum Limited' (symbol ARABIAN) but dates disagree: db='2023-10-15' vs nse_sme='09-Oct-23'
Vinyas Innovative Technologies Limited,NSE_SME name-matched 'Vinyas Innovative Technologies Limited' (symbol VINYAS) but dates disagree: db='2023-10-15' vs nse_sme='06-Oct-23'
Inspire Films Limited,NSE_SME name-matched 'Inspire Films Limited' (symbol INSPIRE) but dates disagree: db='2023-10-15' vs nse_sme='05-Oct-23'
Newjaisa Technologies Limited,NSE_SME name-matched 'Newjaisa Technologies Limited' (symbol NEWJAISA) but dates disagree: db='2023-10-15' vs nse_sme='05-Oct-23'
Digikore Studios limited,NSE_SME name-matched 'Digikore Studios Limited' (symbol DIGIKORE) but dates disagree: db='2023-10-15' vs nse_sme='04-Oct-23'
Mangalam Alloys Limited,NSE_SME name-matched 'Mangalam Alloys Limited' (symbol MAL) but dates disagree: db='2023-10-15' vs nse_sme='04-Oct-23'
Master Components Limited,NSE_SME name-matched 'Master Components Limited' (symbol MASTER) but dates disagree: db='2023-09-15' vs nse_sme='29-Sep-23'
Cellecor Gadgets Limited,NSE_SME name-matched 'Cellecor Gadgets Limited' (symbol CELLECOR) but dates disagree: db='2023-09-15' vs nse_sme='28-Sep-23'
Hi-Green Carbon Limited,NSE_SME name-matched 'Hi-Green Carbon Limited' (symbol HIGREEN) but dates disagree: db='2023-09-15' vs nse_sme='28-Sep-23'
Marco Cables & Conductors Limited,NSE_SME name-matched 'Marco Cables & Conductors Limited' (symbol MARCO) but dates disagree: db='2023-09-15' vs nse_sme='28-Sep-23'
Kody Technolab Limited,NSE_SME name-matched 'Kody Technolab Limited' (symbol KODYTECH) but dates disagree: db='2023-09-15' vs nse_sme='27-Sep-23'
Madhusudan Masala Limited,NSE_SME name-matched 'Madhusudan Masala Limited' (symbol MADHUSUDAN) but dates disagree: db='2023-09-15' vs nse_sme='26-Sep-23'
Chavda Infra Limited,NSE_SME name-matched 'Chavda Infra Limited' (symbol CHAVDA) but dates disagree: db='2023-09-15' vs nse_sme='25-Sep-23'
Holmarc Opto-Mechatronics Limited,NSE_SME name-matched 'Holmarc Opto-Mechatronics Limited' (symbol HOLMARC) but dates disagree: db='2023-09-15' vs nse_sme='25-Sep-23'
Basilic Fly Studio Limited,NSE_SME name-matched 'Basilic Fly Studio Limited' (symbol BASILIC) but dates disagree: db='2023-09-15' vs nse_sme='11-Sep-23'
Mono Pharmacare Limited,NSE_SME name-matched 'Mono Pharmacare Limited' (symbol MONOPHARMA) but dates disagree: db='2023-09-15' vs nse_sme='07-Sep-23'
CPS Shapers Limited,NSE_SME name-matched 'C P S Shapers Limited' (symbol CPS) but dates disagree: db='2023-09-15' vs nse_sme='07-Sep-23'
Sungarner Energies Limited,NSE_SME name-matched 'Sungarner Energies Limited' (symbol SEL) but dates disagree: db='2023-08-15' vs nse_sme='31-Aug-23'
Crop Life Science Limited,NSE_SME name-matched 'Crop Life Science Limited' (symbol CLSL) but dates disagree: db='2023-08-15' vs nse_sme='30-Aug-23'
Vinsys IT Services Limited,NSE_SME name-matched 'Vinsys IT Services India Limited' (symbol VINSYS) but dates disagree: db='2023-08-15' vs nse_sme='11-Aug-23'
Oriana Power Limited,NSE_SME name-matched 'Oriana Power Limited' (symbol ORIANA) but dates disagree: db='2023-08-15' vs nse_sme='11-Aug-23'
Zeal Global Services Limited,NSE_SME name-matched 'Zeal Global Services Limited' (symbol ZEAL) but dates disagree: db='2023-08-15' vs nse_sme='09-Aug-23'
Shri Techtex Limited,NSE_SME name-matched 'Shri Techtex Limited' (symbol SHRITECH) but dates disagree: db='2023-08-15' vs nse_sme='04-Aug-23'
Yasons Chemex Care Limited,NSE_SME name-matched 'Yasons Chemex Care Limited' (symbol YCCL) but dates disagree: db='2023-08-15' vs nse_sme='03-Aug-23'
Service Care Limited,NSE_SME name-matched 'Service Care Limited' (symbol SERVICE) but dates disagree: db='2023-07-15' vs nse_sme='26-Jul-23'
Drone Destination Limited,NSE_SME name-matched 'Drone Destination Limited' (symbol DRONE) but dates disagree: db='2023-07-15' vs nse_sme='21-Jul-23'
Global Pet Industries Limited,NSE_SME name-matched 'Global Pet Industries Limited' (symbol GLOBALPET) but dates disagree: db='2023-07-15' vs nse_sme='10-Jul-23'
Pentagon Rubber Limited,NSE_SME name-matched 'Pentagon Rubber Limited' (symbol PENTAGON) but dates disagree: db='2023-07-15' vs nse_sme='07-Jul-23'
Essen Speciality Films Limited,NSE_SME name-matched 'Essen Speciality Films Limited' (symbol ESFL) but dates disagree: db='2023-07-15' vs nse_sme='06-Jul-23'
Greenchef Appliances Limited,NSE_SME name-matched 'Greenchef Appliances Limited' (symbol GREENCHEF) but dates disagree: db='2023-07-15' vs nse_sme='06-Jul-23'
Vilin Bio Med Limited,NSE_SME name-matched 'Vilin Bio Med Limited' (symbol VILINBIO) but dates disagree: db='2023-06-15' vs nse_sme='30-Jun-23'
Aatmaj Healthcare Limited,NSE_SME name-matched 'Aatmaj Healthcare Limited' (symbol AATMAJ) but dates disagree: db='2023-06-15' vs nse_sme='30-Jun-23'
Cell Point (India) Limited,NSE_SME name-matched 'Cell Point (India) Limited' (symbol CELLPOINT) but dates disagree: db='2023-06-15' vs nse_sme='28-Jun-23'
Spectrum Talent Management Limited,NSE_SME name-matched 'Spectrum Talent Management Limited' (symbol SPECTSTM) but dates disagree: db='2023-06-15' vs nse_sme='22-Jun-23'
Urban Enviro Waste Management Limited,NSE_SME name-matched 'Urban Enviro Waste Management Limited' (symbol URBAN) but dates disagree: db='2023-06-15' vs nse_sme='22-Jun-23'
Infollion Research Services Limited,NSE_SME name-matched 'Infollion Research Services Limited' (symbol INFOLLION) but dates disagree: db='2023-06-15' vs nse_sme='08-Jun-23'
Proventus Agrocom Limited,NSE_SME name-matched 'Proventus Agrocom Limited' (symbol PROV) but dates disagree: db='2023-06-15' vs nse_sme='05-Jun-23'
Crayons Advertising Limited,NSE_SME name-matched 'Crayons Advertising Limited' (symbol CRAYONS) but dates disagree: db='2023-06-15' vs nse_sme='02-Jun-23'
Vasa Denticity Limited,NSE_SME name-matched 'Vasa Denticity Limited' (symbol DENTALKART) but dates disagree: db='2023-06-15' vs nse_sme='02-Jun-23'
Remus Pharmaceuticals Limited,NSE_SME name-matched 'Remus Pharmaceuticals Limited' (symbol REMUS) but dates disagree: db='2023-05-15' vs nse_sme='29-May-23'
Krishca Strapping Solutions Limited,NSE_SME name-matched 'Krishca Strapping Solutions Limited' (symbol KRISHCA) but dates disagree: db='2023-05-15' vs nse_sme='26-May-23'
